 
                                                                                                                                                                                                                                                                
 
The FREQ Procedure

                                    Cumulative    Cumulative
cluster    Frequency     Percent     Frequency      Percent
------------------------------------------------------------
      1          23        7.62            23         7.62  
      2          15        4.97            38        12.58  
      3          82       27.15           120        39.74  
      4          43       14.24           163        53.97  
      5          39       12.91           202        66.89  
      6          17        5.63           219        72.52  
      7          15        4.97           234        77.48  
      8          59       19.54           293        97.02  
      9           9        2.98           302       100.00  
